"id";"sexo";"escala";"puntuacion_cruda";"puntuacion_t"
942;2;12;25;61
943;2;12;26;63
944;2;12;27;66
945;2;12;28;69
946;2;12;29;71
947;2;12;30;74
948;2;12;31;77
949;2;12;32;79
950;2;12;33;82
951;2;12;34;85
952;2;12;35;88
953;2;12;36;90
954;2;12;37;93
955;2;12;38;96
956;2;12;39;98
957;2;12;40;101
958;2;12;41;104
959;2;12;42;106
960;2;12;43;109
961;2;12;44;112
962;2;12;45;115
963;2;12;46;117
964;2;13;11;30
965;2;13;12;31
966;2;13;13;32
967;2;13;14;33
968;2;13;15;35
969;2;13;16;36
970;2;13;17;37
971;2;13;18;38
972;2;13;19;40
973;2;13;20;41
974;2;13;21;42
975;2;13;22;43
976;2;13;23;45
977;2;13;24;46
978;2;13;25;47
979;2;13;26;48
980;2;13;27;50
981;2;13;28;51
982;2;13;29;52
983;2;13;30;53
984;2;13;31;54
985;2;13;32;56
986;2;13;33;57
987;2;13;34;58
988;2;13;35;59
989;2;13;36;61
990;2;13;37;62
991;2;13;38;63
992;2;13;39;64
993;2;13;40;66
994;2;13;41;67
995;2;13;42;68
996;2;13;43;69
997;2;13;44;70
998;2;13;45;72
999;2;13;46;73
1000;2;13;47;74
1001;2;13;48;75
1002;2;13;49;77
1003;2;13;50;78
1004;2;13;51;79
1005;2;13;52;80
1006;2;13;53;82
1007;2;13;54;83
1008;2;13;55;84
1009;2;13;56;85
1010;2;13;57;87
1011;2;13;58;88
1012;2;13;59;89
1013;2;13;60;90
1014;2;13;61;91
1015;2;13;62;93
1016;2;13;63;94
1017;2;13;64;95
1018;2;13;65;96
1019;2;13;66;98
1020;2;13;67;99
1021;2;13;68;100
1022;2;13;69;101
1023;1;14;0;36
1024;1;14;1;37
1025;1;14;2;38
1026;1;14;3;40
1027;1;14;4;41
1028;1;14;5;43
1029;1;14;6;44
1030;1;14;7;45
1031;1;14;8;47
1032;1;14;9;48
1033;1;14;10;49
1034;1;14;11;51
1035;1;14;12;52
1036;1;14;13;54
1037;1;14;14;55
1038;1;14;15;56
1039;1;14;16;58
1040;1;14;17;59
1041;1;14;18;60
1042;1;14;19;62
1043;1;14;20;63
1044;1;14;21;65
1045;1;14;22;66
1046;1;14;23;67
1047;1;14;24;69
1048;1;14;25;70
1049;1;14;26;71
1050;1;14;27;73
1051;1;14;28;74
1052;1;14;29;75
1053;1;14;30;77
1054;1;14;31;78
1055;1;14;32;80
1056;1;14;33;81
1057;1;14;34;82
1058;1;14;35;84
1059;1;14;36;85
1060;1;14;37;86
1061;1;14;38;88
1062;1;14;39;89
1063;1;15;9;31
1064;1;15;10;34
1065;1;15;11;36
1066;1;15;12;38
1067;1;15;13;40
1068;1;15;14;43
1069;1;15;15;45
